subset,model_name,model,baseline,outcome,k,delta_loglik,se,mean_aug_loglik,mean_baseline_loglik,n
All Ordinary,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,0.0002621395685806023,0.00023208276315703802,0.016163748719426867,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.0003597039215437737,9.866469189968132e-05,0.015541905229302492,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.0003689986708113409,0.0001114001100105834,0.015532610480034927,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.0003669712420049163,0.00013257650499253807,0.015534637908841352,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-0.00034982426129030806,0.00015678488984213206,0.015551784889555957,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-0.0003197866807929383,0.00017993715171051814,0.015581822470053325,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-0.00028214746361011667,0.00020002491181960586,0.015619461687236151,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-0.00024196177735470985,0.00021640205438323715,0.015659647373491556,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-0.00020254329816891275,0.0002291455006968652,0.015699065852677354,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,-0.0001667463038005532,0.00023868428180320194,0.015734862847045717,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,-0.00013402906129360303,0.000245367779953765,0.015767580089552664,0.015901609150846263,9718
All Ordinary,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,-0.00010629063576352993,0.00024978016019742744,0.01579531851508274,0.015901609150846263,9718
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00014298692539789075,0.00021498147791956725,0.032372882170464086,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.00014769634007797837,0.00015335465611729756,0.032368172755784,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.00014242675414672648,9.504519504750348e-05,0.032373442341715256,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,-0.00011832068355394,0.00011058871586253904,0.03239754841230805,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,-8.450772078990967e-05,0.00017021282149681525,0.032431361375072076,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,-5.426182799378885e-05,0.00022461601347398814,0.032461607267868196,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,-3.657865201651272e-05,0.0002628218024680439,0.03247929044384547,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,-3.359725875263224e-05,0.0002842033257313445,0.032482271837109354,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,-4.196815235018748e-05,0.00029171626427689027,0.03247390094351179,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,-5.643541665484239e-05,0.0002896330839505144,0.032459433679207145,0.03251586909586199,4859
Advanced,gpt,gpt,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,-7.297189692592602e-05,0.00028209422863330726,0.03244289719893605,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00012286769412535805,0.00010462443700349405,0.03239300140173663,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-2.1108190210722476e-05,8.839045815298116e-05,0.03249476090565126,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,3.516112143602498e-05,0.00017254503220311428,0.032551030217298015,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.0,5.244682946364168e-05,0.0002330832622219867,0.03256831592532562,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.25,5.7818262513347534e-05,0.0002700729975104885,0.03257368735837534,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.5,6.214335532950252e-05,0.0002932677683676675,0.03257801245119149,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,1.75,6.635187114783604e-05,0.00030988375786042416,0.03258222096700982,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.0,6.918980276531721e-05,0.00032343625010033944,0.032585058898627305,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.25,6.941436783131395e-05,0.00033512292238826476,0.0325852834636933,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.5,6.61249669793623e-05,0.00034496504939464796,0.03258199406284135,0.03251586909586199,4859
Advanced,bert,bert,len_ch_len_wordfreq_participant_difficulty,log_time_sum,2.75,5.890475534814317e-05,0.00035245874320112097,0.032574773851210125,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.25,-0.00020572435733396703,0.00014254340553726704,0.032310144738528015,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.5,-0.00019182783557137917,0.00011298964562220755,0.032324041260290606,0.03251586909586199,4859
Advanced,ngram,ngram,len_ch_len_wordfreq_participant_difficulty,log_time_sum,0.75,-0.00010680610541016984,0.0002002147197072808,0.032409062990451806,0.03251586909586199,4859
