"name","X1","X2","X3"
"cum_lvar",0.000599715116652136,4.80971886595781e-08,-6.46615359312531
"rolling_lvar1",0.000694263032813499,3.79302607570304e-08,-6.46605904520915
"rolling_lvar2",0.000777615622159876,4.78824958187854e-08,-6.4659756926198
"rolling_lvar3",0.000662094787204352,4.87270950556083e-08,-6.46609121345476
"rolling_lvar4",0.000735187028196319,5.46903787378786e-08,-6.46601812121377
"diff_par",0.00350284538165488,8.20692196812589e-08,-6.46765522842003
"diff2_par",0.000600391747319604,1.74439944034699e-07,-6.47055768205437
"diff_sen",0.00327482841457253,7.43154174775463e-08,-6.46788324538712
"diff2_sen",0.000988429259709172,1.20931220911182e-07,-6.47016964454198
"diff2_lang",0.00112323659172261,1.98021452134909e-07,-6.47003483720997
